8189073;8186322;8185017;8186284;8189551;8184982;8187089;8186687;8177053;8171552;8166448;;;;
8189299;8186574;8184872;8186242;8189421;8184700;8187258;8186754;8176979;8171698;8166514;;;;
8189608;8186759;8184778;8186309;8189341;8184597;8187578;8186712;8176876;8171556;8166563;;;;
8189724;8186720;8184809;8186368;8189413;8184680;8187699;8186736;8176688;8171539;8166607;;;;
8189359;8186551;8184806;8186563;8189548;8184868;8187768;8186786;8176651;8171599;8166559;;;;
8189093;8186275;8184656;8186365;8189495;8184987;8187914;8186746;8176483;8171700;8166590;;;;
8188958;8186155;8184512;8186184;8189410;8184922;8188125;8186842;8176385;8171668;8166751;;;;
8189024;8186188;8184451;8186358;8189323;8184973;8188151;8187062;8176332;8171731;8166866;;;;
8189175;8185941;8184655;8186458;8189476;8185172;8188179;8187088;8176338;8171768;8166802;;;;
8189027;8184469;8184817;8186457;8189223;8185307;8188313;8186945;8176382;8171718;8166579;;;;
8188668;8184479;8184775;8186349;8189443;8185255;8188477;8186810;8176750;8171793;8166485;;;;
8188392;8185418;8184860;8186129;8189700;8185345;8188479;8187040;8176785;8171768;8166569;;;;
8188325;8185763;8184985;8186031;8189406;8185395;8188447;8187230;8176509;8171577;8166574;;;;
8188411;8186181;8185176;8186230;8189091;8185280;8188277;8187091;8176321;8171477;8166512;;;;
8188308;8186606;8185000;8186414;8188890;8185502;8188188;8187008;8176175;8171380;8166414;;;;
8188152;8187097;8184820;8186242;8188880;8185793;8188326;8187185;8176329;8171561;8166309;;;;
8188273;8187378;8184886;8186166;8188682;8185865;8188439;8187307;8176411;8171531;8165751;;;;
8188461;8187228;8185148;8186145;8188667;8185953;8188319;8187149;8176270;8171173;8164324;;;;
8188328;8187124;8185358;8185942;8188704;8185889;8188284;8187222;8176021;8171127;8163869;;;;
8188056;8187228;8185182;8185760;8188727;8185911;8188478;8187345;8175995;8171457;8164040;;;;
8187865;8187303;8184908;8185580;8188843;8186192;8188709;8187567;8176079;8171436;8164028;;;;
8187811;8187240;8184852;8185633;8189048;8186426;8188763;8187636;8175928;8171348;8163958;;;;
8187857;8186970;8185064;8186023;8188996;8186760;8188726;8187485;8175885;8170978;8163975;;;;
8187833;8186643;8185212;8186013;8188816;8186986;8188748;8187576;8175901;8170889;8164919;;;;
8187770;8186591;8185309;8185773;8188321;8187188;8188770;8187741;8175705;8171049;8166152;;;;
8187676;8186738;8185452;8185661;8187703;8187383;8188738;8187811;8175860;8171123;8166454;;;;
8187642;8186885;8185607;8185475;8187556;8187356;8188829;8187990;8176135;8171088;8166509;;;;
8187592;8187000;8185542;8185615;8187353;8187416;8188769;8187978;8176121;8171213;8166458;;;;
